2024-07-01 13:13:55.260852;277;H=72;T=27;Hs=12.8607;sp=2;sf=7;rx_timestamp=194022107; rssi=-104; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:14:18.202117;278;H=72;T=27;Hs=12.8607;sp=2;sf=12;rx_timestamp=216957444; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:14:37.255806;279;H=72;T=27;Hs=12.8607;sp=20;sf=7;rx_timestamp=236315110; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:15:00.292884;280;H=72;T=27;Hs=12.8607;sp=20;sf=12;rx_timestamp=259355089; rssi=-88; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:15:20.750818;281;H=76;T=27;Hs=13.07446;sp=2;sf=7;rx_timestamp=279612066; rssi=-104; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:15:44.292582;282;H=76;T=27;Hs=13.07446;sp=2;sf=12;rx_timestamp=302652026; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:16:03.282279;283;H=76;T=27;Hs=13.07446;sp=20;sf=7;rx_timestamp=321844064; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:16:26.227764;284;H=76;T=27;Hs=13.07446;sp=20;sf=12;rx_timestamp=344886040; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:16:47.783730;285;H=76;T=27;Hs=12.32633;sp=2;sf=7;rx_timestamp=365141987; rssi=-104; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:17:09.730223;286;H=76;T=27;Hs=12.32633;sp=2;sf=12;rx_timestamp=388181955; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:17:28.715102;287;H=76;T=27;Hs=12.32633;sp=20;sf=7;rx_timestamp=407375992; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:17:51.761508;288;H=76;T=27;Hs=12.32633;sp=20;sf=12;rx_timestamp=430417957; rssi=-88; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:18:12.222118;289;H=75;T=27;Hs=12.82508;sp=2;sf=7;rx_timestamp=450675900; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:18:35.409023;290;H=75;T=27;Hs=12.82508;sp=2;sf=12;rx_timestamp=473745869; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:18:54.288242;291;H=75;T=27;Hs=12.82508;sp=20;sf=7;rx_timestamp=492939907; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 13:19:17.230712;292;H=75;T=27;Hs=12.82508;sp=20;sf=12;rx_timestamp=515979871; rssi=-89; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;293;H=76;T=27;Hs=12.07695;sp=2;sf=7;rx_timestamp=536236828; rssi=-104; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;294;H=76;T=27;Hs=12.07695;sp=2;sf=12;rx_timestamp=559276793; rssi=-103; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
