2024-07-01 11:59:57.194045;70;H=84;T=26;Hs=14.25009;sp=2;sf=12;rx_timestamp=51466389; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:01:22.825780;74;H=85;T=26;Hs=14.10759;sp=2;sf=12;rx_timestamp=136991749; rssi=-102; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:02:48.842179;78;H=84;T=26;Hs=14.67759;sp=2;sf=12;rx_timestamp=222517994; rssi=-98; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:04:13.673709;82;H=85;T=26;Hs=13.85821;sp=2;sf=12;rx_timestamp=308043176; rssi=-99; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:05:39.696465;86;H=86;T=26;Hs=14.03634;sp=2;sf=12;rx_timestamp=393568313; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;90;H=84;T=26;Hs=14.21446;sp=2;sf=12;rx_timestamp=479094416; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:08:30.756065;94;H=84;T=26;Hs=13.92946;sp=2;sf=12;rx_timestamp=564617494; rssi=-100; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:09:57.208928;98;H=83;T=26;Hs=13.57321;sp=2;sf=12;rx_timestamp=650144538; rssi=-99; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;102;H=83;T=26;Hs=13.89384;sp=2;sf=12;rx_timestamp=735849262; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:12:47.661775;106;H=83;T=26;Hs=13.89384;sp=2;sf=12;rx_timestamp=821429284; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:14:12.693555;110;H=83;T=26;Hs=13.82259;sp=2;sf=12;rx_timestamp=906956297; rssi=-101; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
