2024-06-28 12:22:27.281772;110;H=44;T=35;Hs=45.10153;sp=2;sf=12;rx_timestamp=1498426698; rssi=-59; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:22:46.356495;111;H=44;T=35;Hs=45.10153;sp=20;sf=7;rx_timestamp=1517619708; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:23:09.801219;112;H=44;T=35;Hs=45.10153;sp=20;sf=12;rx_timestamp=1540662637; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:23:29.356223;113;H=49;T=35;Hs=44.38903;sp=2;sf=7;rx_timestamp=1560917549; rssi=-55; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:23:52.794965;114;H=49;T=35;Hs=44.38903;sp=2;sf=12;rx_timestamp=1583959485; rssi=-59; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:24:12.289653;115;H=49;T=35;Hs=44.38903;sp=20;sf=7;rx_timestamp=1603152487; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:24:35.338005;116;H=49;T=35;Hs=44.38903;sp=20;sf=12;rx_timestamp=1626192406; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:24:55.291220;117;H=50;T=35;Hs=44.17528;sp=2;sf=7;rx_timestamp=1646448323; rssi=-55; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:25:19.391070;118;H=50;T=35;Hs=44.17528;sp=2;sf=12;rx_timestamp=1669490249; rssi=-57; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:26:00.904522;120;H=50;T=35;Hs=44.17528;sp=20;sf=12;rx_timestamp=1711727175; rssi=-44; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:26:43.872219;122;H=51;T=36;Hs=43.53403;sp=2;sf=12;rx_timestamp=1755025018; rssi=-58; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:27:03.367757;123;H=51;T=36;Hs=43.53403;sp=20;sf=7;rx_timestamp=1774223016; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:28:09.830056;126;H=49;T=35;Hs=42.92839;sp=2;sf=12;rx_timestamp=1840586771; rssi=-58; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:28:28.828438;127;H=49;T=35;Hs=42.92839;sp=20;sf=7;rx_timestamp=1859779779; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:29:16.322143;129;H=43;T=37;Hs=43.17777;sp=2;sf=7;rx_timestamp=1907274594; rssi=-55; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
