2024-07-01 15:10:43.975839;604;H=87;T=25;Hs=11.36445;sp=20;sf=12;rx_timestamp=2351082946; rssi=-89; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:11:03.928584;605;H=86;T=25;Hs=11.36445;sp=2;sf=7;rx_timestamp=2371341885; rssi=-103; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:11:26.974507;606;H=86;T=25;Hs=11.36445;sp=2;sf=12;rx_timestamp=2394383846; rssi=-104; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:11:46.471955;607;H=86;T=25;Hs=11.36445;sp=20;sf=7;rx_timestamp=2413577879; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:12:09.519802;608;H=86;T=25;Hs=11.36445;sp=20;sf=12;rx_timestamp=2436621837; rssi=-89; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:12:29.986647;609;H=85;T=24;Hs=11.75632;sp=2;sf=7;rx_timestamp=2456879793; rssi=-103; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:12:53.017392;610;H=85;T=24;Hs=11.75632;sp=2;sf=12;rx_timestamp=2479922752; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:13:12.028905;611;H=85;T=24;Hs=11.75632;sp=20;sf=7;rx_timestamp=2499118783; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:13:34.956914;612;H=85;T=24;Hs=11.75632;sp=20;sf=12;rx_timestamp=2522160749; rssi=-87; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:13:55.544123;613;H=86;T=24;Hs=11.32882;sp=2;sf=7;rx_timestamp=2542416686; rssi=-102; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 15:14:17.966210;614;H=86;T=24;Hs=11.32882;sp=2;sf=12;rx_timestamp=2565459655; rssi=-102; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
