2024-07-02 10:23:05.123338;259;H=37;T=41;Hs=25.86391;sp=20;sf=7;rx_timestamp=4673221; rssi=-92; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:24:29.694769;263;H=37;T=40;Hs=25.86391;sp=20;sf=7;rx_timestamp=90206952; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:25:55.304716;267;H=40;T=40;Hs=25.61453;sp=20;sf=7;rx_timestamp=175742639; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:27:23.159948;271;H=41;T=41;Hs=25.57891;sp=20;sf=7;rx_timestamp=263373309; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:30:13.634596;279;H=37;T=40;Hs=25.61453;sp=20;sf=7;rx_timestamp=434442697; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:31:39.201625;283;H=38;T=41;Hs=25.22266;sp=20;sf=7;rx_timestamp=520017389; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:33:04.638298;287;H=37;T=41;Hs=25.47203;sp=20;sf=7;rx_timestamp=605552090; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:34:30.675800;291;H=38;T=41;Hs=25.36516;sp=20;sf=7;rx_timestamp=691087801; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:35:56.214555;295;H=40;T=39;Hs=25.50766;sp=20;sf=7;rx_timestamp=776625527; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:37:21.657448;299;H=44;T=37;Hs=25.61453;sp=20;sf=7;rx_timestamp=862161240; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:38:49.688025;303;H=37;T=40;Hs=25.25829;sp=20;sf=7;rx_timestamp=949790967; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
