2024-07-02 14:07:43.147483;885;H=30;T=40;Hs=20.4845;sp=2;sf=7;rx_timestamp=3083591; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:09:08.157762;889;H=34;T=39;Hs=19.16637;sp=2;sf=7;rx_timestamp=88619285; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:10:33.096184;893;H=36;T=39;Hs=22.12327;sp=2;sf=7;rx_timestamp=174147891; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:11:58.792141;897;H=36;T=39;Hs=22.40826;sp=2;sf=7;rx_timestamp=259685467; rssi=-104; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:13:24.077784;901;H=36;T=39;Hs=21.69576;sp=2;sf=7;rx_timestamp=345232048; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:14:49.603170;905;H=34;T=40;Hs=20.62701;sp=2;sf=7;rx_timestamp=430760619; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:16:15.167769;909;H=35;T=39;Hs=22.15889;sp=2;sf=7;rx_timestamp=516318176; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:17:40.759561;913;H=34;T=40;Hs=22.19452;sp=2;sf=7;rx_timestamp=601853745; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:19:08.123265;917;H=34;T=40;Hs=21.69576;sp=2;sf=7;rx_timestamp=689471297; rssi=-105; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:20:34.283016;921;H=32;T=40;Hs=22.15889;sp=2;sf=7;rx_timestamp=775004855; rssi=-106; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 14:21:59.096063;925;H=32;T=40;Hs=17.52761;sp=2;sf=7;rx_timestamp=860535420; rssi=-104; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
