2024-07-03 11:15:56.544193;247;H=42;T=39;Hs=49.02031;sp=20;sf=7;rx_timestamp=5164093; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:16:18.635481;248;H=42;T=39;Hs=49.02031;sp=20;sf=12;rx_timestamp=28207152; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:16:38.089582;249;H=45;T=37;Hs=49.51906;sp=2;sf=7;rx_timestamp=48465160; rssi=-110; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:17:01.642777;250;H=45;T=37;Hs=49.51906;sp=2;sf=12;rx_timestamp=71509181; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:17:20.636283;251;H=45;T=37;Hs=49.51906;sp=20;sf=7;rx_timestamp=90704262; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:17:43.574639;252;H=45;T=37;Hs=49.51906;sp=20;sf=12;rx_timestamp=113745272; rssi=-95; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:18:04.134437;253;H=42;T=37;Hs=48.87781;sp=2;sf=7;rx_timestamp=134002251; rssi=-110; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:18:26.574314;254;H=42;T=37;Hs=48.87781;sp=2;sf=12;rx_timestamp=157045249; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:18:46.073420;255;H=42;T=37;Hs=48.87781;sp=20;sf=7;rx_timestamp=176240314; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:19:09.615300;256;H=42;T=37;Hs=48.87781;sp=20;sf=12;rx_timestamp=199281318; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:19:31.567938;257;H=41;T=36;Hs=49.09156;sp=2;sf=7;rx_timestamp=221637292; rssi=-109; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:19:54.646392;258;H=41;T=36;Hs=49.09156;sp=2;sf=12;rx_timestamp=244681289; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:20:13.609880;259;H=41;T=36;Hs=49.09156;sp=20;sf=7;rx_timestamp=263875340; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:20:36.666830;260;H=41;T=36;Hs=49.09156;sp=20;sf=12;rx_timestamp=286920338; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
