2024-07-03 15:18:53.964870;925;H=71;T=29;Hs=38.36836;sp=2;sf=7;rx_timestamp=7071043; rssi=-101; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:19:16.549017;926;H=71;T=29;Hs=38.36836;sp=2;sf=12;rx_timestamp=30114134; rssi=-100; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:19:36.169437;927;H=71;T=29;Hs=38.36836;sp=20;sf=7;rx_timestamp=49311257; rssi=-83; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:19:59.161400;928;H=71;T=29;Hs=38.36836;sp=20;sf=12;rx_timestamp=72353304; rssi=-89; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:20:19.056211;929;H=71;T=29;Hs=38.29712;sp=2;sf=7;rx_timestamp=92609319; rssi=-102; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:20:42.000275;930;H=71;T=29;Hs=38.29712;sp=2;sf=12;rx_timestamp=115651347; rssi=-104; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:21:01.472529;931;H=71;T=29;Hs=38.29712;sp=20;sf=7;rx_timestamp=134843439; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:21:24.015685;932;H=71;T=29;Hs=38.29712;sp=20;sf=12;rx_timestamp=157885454; rssi=-83; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;933;H=70;T=29;Hs=38.33274;sp=2;sf=7;rx_timestamp=178139449; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:22:08.010166;934;H=70;T=29;Hs=38.33274;sp=2;sf=12;rx_timestamp=201182454; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:22:26.507009;935;H=70;T=29;Hs=38.33274;sp=20;sf=7;rx_timestamp=220376524; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:22:49.548536;936;H=70;T=29;Hs=38.33274;sp=20;sf=12;rx_timestamp=243418528; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:23:10.516393;937;H=69;T=29;Hs=38.22587;sp=2;sf=7;rx_timestamp=263673512; rssi=-100; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:23:33.547289;938;H=69;T=29;Hs=38.22587;sp=2;sf=12;rx_timestamp=286716510; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:23:52.543878;939;H=69;T=29;Hs=38.22587;sp=20;sf=7;rx_timestamp=305910559; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:24:15.480477;940;H=69;T=29;Hs=38.22587;sp=20;sf=12;rx_timestamp=328950559; rssi=-85; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:24:35.539259;941;H=66;T=30;Hs=38.15461;sp=2;sf=7;rx_timestamp=349208523; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:24:58.979755;942;H=66;T=30;Hs=38.15461;sp=2;sf=12;rx_timestamp=372248513; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:25:17.984518;943;H=66;T=30;Hs=38.15461;sp=20;sf=7;rx_timestamp=391440558; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:25:40.513716;944;H=66;T=30;Hs=38.15461;sp=20;sf=12;rx_timestamp=414482549; rssi=-86; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:26:00.974823;945;H=65;T=30;Hs=38.15461;sp=2;sf=7;rx_timestamp=434737503; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:26:24.511507;946;H=65;T=30;Hs=38.15461;sp=2;sf=12;rx_timestamp=457780479; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
