2024-07-03 13:59:05.394273;702;H=72;T=27;Hs=41.00463;sp=2;sf=12;rx_timestamp=72326657; rssi=-103; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:00:30.459320;706;H=72;T=27;Hs=41.04025;sp=2;sf=12;rx_timestamp=157891880; rssi=-105; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:01:56.431215;710;H=74;T=27;Hs=41.04025;sp=2;sf=12;rx_timestamp=243429013; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:03:21.535121;714;H=74;T=26;Hs=40.82651;sp=2;sf=12;rx_timestamp=328970113; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:04:53.478360;718;H=75;T=26;Hs=41.00463;sp=2;sf=12;rx_timestamp=420802165; rssi=-104; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:06:18.929459;722;H=75;T=26;Hs=41.00463;sp=2;sf=12;rx_timestamp=506352173; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:07:44.466325;726;H=75;T=26;Hs=40.86213;sp=2;sf=12;rx_timestamp=591888175; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:09:09.903431;730;H=76;T=26;Hs=40.89776;sp=2;sf=12;rx_timestamp=677433141; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:10:35.467426;734;H=76;T=26;Hs=40.43463;sp=2;sf=12;rx_timestamp=762989110; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:12:01.432611;738;H=79;T=26;Hs=40.43463;sp=2;sf=12;rx_timestamp=848527055; rssi=-104; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:13:28.952704;742;H=81;T=26;Hs=40.22088;sp=2;sf=12;rx_timestamp=936162997; rssi=-105; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
