0000;717;H=62;T=31;Hs=74.88422;sp=2;sf=7;rx_timestamp=11362381; rssi=-114; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:04:56.105435;718;H=62;T=31;Hs=74.88422;sp=2;sf=12;rx_timestamp=34403494; rssi=-117; snr=-9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:05:15.604802;719;H=62;T=31;Hs=74.88422;sp=20;sf=7;rx_timestamp=53599624; rssi=-99; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:05:38.559209;720;H=62;T=31;Hs=74.88422;sp=20;sf=12;rx_timestamp=76646696; rssi=-98; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:06:41.551515;723;H=63;T=30;Hs=74.59921;sp=20;sf=7;rx_timestamp=139142883; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:07:04.593490;724;H=63;T=30;Hs=74.59921;sp=20;sf=12;rx_timestamp=162186913; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:07:24.044883;725;H=65;T=29;Hs=74.42109;sp=2;sf=7;rx_timestamp=182443909; rssi=-113; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:07:47.102544;726;H=65;T=29;Hs=74.42109;sp=2;sf=12;rx_timestamp=205490947; rssi=-111; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:08:07.090436;727;H=65;T=29;Hs=74.42109;sp=20;sf=7;rx_timestamp=224687022; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:08:29.535911;728;H=65;T=29;Hs=74.42109;sp=20;sf=12;rx_timestamp=247729040; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:08:50.093341;729;H=65;T=28;Hs=74.45671;sp=2;sf=7;rx_timestamp=267988029; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
