0000;492;H=95;T=27;Hs=82.65052;sp=20;sf=12;rx_timestamp=68031535; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:45:31.599588;496;H=95;T=27;Hs=82.25863;sp=20;sf=12;rx_timestamp=153559748; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:46:56.652658;500;H=95;T=27;Hs=82.11614;sp=20;sf=12;rx_timestamp=239090881; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:48:22.659226;504;H=95;T=27;Hs=82.00927;sp=20;sf=12;rx_timestamp=324620962; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:49:48.105110;508;H=95;T=27;Hs=82.00927;sp=20;sf=12;rx_timestamp=410166004; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:51:14.128934;512;H=95;T=28;Hs=81.97364;sp=20;sf=12;rx_timestamp=495694020; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:52:39.560919;516;H=95;T=28;Hs=81.61738;sp=20;sf=12;rx_timestamp=581225999; rssi=-96; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:54:04.740047;520;H=95;T=28;Hs=81.47489;sp=20;sf=12;rx_timestamp=666796971; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:55:30.565465;524;H=95;T=28;Hs=81.43927;sp=20;sf=12;rx_timestamp=752327931; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:56:56.092138;528;H=95;T=29;Hs=81.22551;sp=20;sf=12;rx_timestamp=837856883; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:58:21.627566;532;H=95;T=29;Hs=80.72676;sp=20;sf=12;rx_timestamp=923383807; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:59:47.156459;536;H=95;T=29;Hs=80.69114;sp=20;sf=12;rx_timestamp=1008915726; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:01:12.770197;540;H=95;T=29;Hs=80.58425;sp=20;sf=12;rx_timestamp=1094447630; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:02:37.639979;544;H=95;T=29;Hs=80.33488;sp=20;sf=12;rx_timestamp=1179980521; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:04:03.658669;548;H=95;T=29;Hs=80.22799;sp=20;sf=12;rx_timestamp=1265510415; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:05:28.593867;552;H=95;T=29;Hs=80.33488;sp=20;sf=12;rx_timestamp=1351039291; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:06:56.617027;556;H=95;T=30;Hs=79.72925;sp=20;sf=12;rx_timestamp=1438670180; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:08:22.162894;560;H=95;T=29;Hs=79.76488;sp=20;sf=12;rx_timestamp=1524220040; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:09:47.640291;564;H=95;T=29;Hs=79.658;sp=20;sf=12;rx_timestamp=1609593180; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:11:15.146868;568;H=95;T=30;Hs=79.69362;sp=20;sf=12;rx_timestamp=1697391760; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:12:42.101699;572;H=95;T=30;Hs=79.37299;sp=20;sf=12;rx_timestamp=1782955621; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:14:06.143829;576;H=95;T=29;Hs=79.19487;sp=20;sf=12;rx_timestamp=1868492457; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:15:31.782382;580;H=95;T=29;Hs=78.87424;sp=20;sf=12;rx_timestamp=1954031318; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:16:58.171328;584;H=95;T=30;Hs=79.15924;sp=20;sf=12;rx_timestamp=2039567164; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:18:27.647219;588;H=95;T=30;Hs=78.55362;sp=20;sf=12;rx_timestamp=2129294009; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:19:52.592192;592;H=95;T=30;Hs=78.73174;sp=20;sf=12;rx_timestamp=2214831852; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:21:18.250502;596;H=95;T=30;Hs=78.41112;sp=20;sf=12;rx_timestamp=2300364708; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:22:43.657181;600;H=95;T=30;Hs=78.66049;sp=20;sf=12;rx_timestamp=2385904541; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:24:09.627569;604;H=95;T=29;Hs=78.19736;sp=20;sf=12;rx_timestamp=2471443381; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:25:34.679303;608;H=95;T=30;Hs=78.44674;sp=20;sf=12;rx_timestamp=2557024227; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:27:00.128591;612;H=95;T=30;Hs=77.98361;sp=20;sf=12;rx_timestamp=2642561065; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:28:26.162083;616;H=95;T=31;Hs=77.94799;sp=20;sf=12;rx_timestamp=2728098909; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:29:51.602434;620;H=95;T=30;Hs=78.05486;sp=20;sf=12;rx_timestamp=2813635755; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:31:17.131408;624;H=95;T=29;Hs=78.16175;sp=20;sf=12;rx_timestamp=2899170591; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:32:42.674623;628;H=95;T=29;Hs=77.52048;sp=20;sf=12;rx_timestamp=2984708430; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
