1;H=56;T=34;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=1; tx_frequency=868000000
5;H=56;T=34;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=5; tx_frequency=868000000
9;H=59;T=36;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=9; tx_frequency=868000000
13;H=59;T=37;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=13; tx_frequency=868000000
17;H=54;T=38;Hs=0.0;sp=2;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=17; tx_frequency=868000000
21;H=54;T=38;Hs=0.0;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=21; tx_frequency=868000000
25;H=54;T=38;Hs=0.0;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=67; tx_counter=25; tx_frequency=868000000
29;H=55;T=37;Hs=46.45529;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=29; tx_frequency=868000000
33;H=49;T=36;Hs=44.4959;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=72; tx_counter=33; tx_frequency=868000000
37;H=50;T=35;Hs=43.39152;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=37; tx_frequency=868000000
41;H=52;T=35;Hs=42.82152;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=41; tx_frequency=868000000
45;H=54;T=34;Hs=42.32276;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=45; tx_frequency=868000000
49;H=54;T=34;Hs=41.93089;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=49; tx_frequency=868000000
53;H=57;T=34;Hs=41.61026;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=53; tx_frequency=868000000
57;H=55;T=34;Hs=41.25401;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=57; tx_frequency=868000000
61;H=56;T=35;Hs=40.61275;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=61; tx_frequency=868000000
65;H=55;T=34;Hs=40.54151;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=65; tx_frequency=868000000
69;H=55;T=34;Hs=40.2565;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=72; tx_counter=69; tx_frequency=868000000
73;H=52;T=35;Hs=39.65088;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=73; tx_frequency=868000000
77;H=48;T=36;Hs=39.65088;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=77; tx_frequency=868000000
81;H=53;T=34;Hs=39.9715;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=72; tx_counter=81; tx_frequency=868000000
85;H=58;T=31;Hs=39.79338;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=85; tx_frequency=868000000
89;H=62;T=30;Hs=39.9715;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=72; tx_counter=89; tx_frequency=868000000
93;H=62;T=30;Hs=39.57963;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=93; tx_frequency=868000000
97;H=64;T=30;Hs=39.829;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=72; tx_counter=97; tx_frequency=868000000
101;H=65;T=30;Hs=39.61525;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=101; tx_frequency=868000000
105;H=63;T=30;Hs=39.25899;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=105; tx_frequency=868000000
109;H=64;T=30;Hs=39.29462;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=109; tx_frequency=868000000
113;H=63;T=30;Hs=39.4015;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=113; tx_frequency=868000000
117;H=63;T=30;Hs=39.29462;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=117; tx_frequency=868000000
121;H=64;T=30;Hs=39.29462;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=121; tx_frequency=868000000
125;H=62;T=30;Hs=39.47275;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=125; tx_frequency=868000000
129;H=63;T=30;Hs=39.25899;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=129; tx_frequency=868000000
133;H=63;T=30;Hs=39.29462;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=133; tx_frequency=868000000
137;H=61;T=31;Hs=39.22337;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=137; tx_frequency=868000000
141;H=63;T=30;Hs=38.76025;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=141; tx_frequency=868000000
145;H=64;T=30;Hs=38.76025;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=145; tx_frequency=868000000
149;H=61;T=30;Hs=38.79586;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=149; tx_frequency=868000000
153;H=60;T=30;Hs=38.47524;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=153; tx_frequency=868000000
157;H=65;T=30;Hs=38.97399;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=157; tx_frequency=868000000
161;H=65;T=30;Hs=38.83149;sp=2;sf=7;rx_timestamp=493394935; rssi=-125; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=78; tx_counter=161; tx_frequency=868000000
