2024-07-05 10:36:59.355624;263;H=39;T=40;Hs=61.09726;sp=20;sf=7;rx_timestamp=2662774; rssi=-112; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:37:22.417905;264;H=39;T=40;Hs=61.09726;sp=20;sf=12;rx_timestamp=25720778; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:37:42.376540;265;H=37;T=40;Hs=61.52476;sp=2;sf=7;rx_timestamp=45976742; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:38:05.441313;266;H=37;T=40;Hs=61.52476;sp=2;sf=12;rx_timestamp=69018714; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:38:24.861849;267;H=37;T=40;Hs=61.52476;sp=20;sf=7;rx_timestamp=88568753; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:38:47.912435;268;H=37;T=40;Hs=61.52476;sp=20;sf=12;rx_timestamp=111609712; rssi=-101; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:39:08.363918;269;H=40;T=40;Hs=61.34664;sp=2;sf=7;rx_timestamp=131869662; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:39:30.939380;270;H=40;T=40;Hs=61.34664;sp=2;sf=12;rx_timestamp=154910617; rssi=-113; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:39:49.898960;271;H=40;T=40;Hs=61.34664;sp=20;sf=7;rx_timestamp=174105640; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;272;H=40;T=40;Hs=61.34664;sp=20;sf=12;rx_timestamp=197148609; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:40:33.897747;273;H=39;T=40;Hs=61.20413;sp=2;sf=7;rx_timestamp=217403526; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;274;H=39;T=40;Hs=61.20413;sp=2;sf=12;rx_timestamp=240446476; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;275;H=39;T=40;Hs=61.20413;sp=20;sf=7;rx_timestamp=259641498; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:41:39.391628;276;H=39;T=40;Hs=61.20413;sp=20;sf=12;rx_timestamp=282684438; rssi=-100; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;277;H=38;T=41;Hs=61.34664;sp=2;sf=7;rx_timestamp=302939372; rssi=-117; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;278;H=38;T=41;Hs=61.34664;sp=2;sf=12;rx_timestamp=325981321; rssi=-114; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:42:41.370729;279;H=38;T=41;Hs=61.34664;sp=20;sf=7;rx_timestamp=345174338; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:43:04.428547;280;H=38;T=41;Hs=61.34664;sp=20;sf=12;rx_timestamp=368217282; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:43:24.516325;281;H=38;T=40;Hs=61.48914;sp=2;sf=7;rx_timestamp=388475217; rssi=-118; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
