2024-07-05 10:38:05.441313;266;H=37;T=40;Hs=61.52476;sp=2;sf=12;rx_timestamp=69018714; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:39:30.939380;270;H=40;T=40;Hs=61.34664;sp=2;sf=12;rx_timestamp=154910617; rssi=-113; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;274;H=39;T=40;Hs=61.20413;sp=2;sf=12;rx_timestamp=240446476; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;278;H=38;T=41;Hs=61.34664;sp=2;sf=12;rx_timestamp=325981321; rssi=-114; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:43:47.921274;282;H=38;T=40;Hs=61.48914;sp=2;sf=12;rx_timestamp=411516156; rssi=-115; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:45:13.357628;286;H=38;T=40;Hs=61.27538;sp=2;sf=12;rx_timestamp=497055985; rssi=-113; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:46:39.288513;290;H=38;T=40;Hs=61.27538;sp=2;sf=12;rx_timestamp=582590816; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:48:06.436306;294;H=48;T=35;Hs=61.20413;sp=2;sf=12;rx_timestamp=670222635; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:49:33.821000;298;H=45;T=35;Hs=61.16851;sp=2;sf=12;rx_timestamp=755758470; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:50:57.896874;302;H=50;T=34;Hs=60.84788;sp=2;sf=12;rx_timestamp=841294310; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:52:22.833556;306;H=55;T=34;Hs=61.16851;sp=2;sf=12;rx_timestamp=926831137; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:53:48.411987;310;H=58;T=33;Hs=61.20413;sp=2;sf=12;rx_timestamp=1012399977; rssi=-115; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
