2024-07-05 16:04:37.578478;1179;H=93;T=20;Hs=59.24475;sp=20;sf=7;rx_timestamp=10628078; rssi=-45; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:05:00.052148;1180;H=93;T=20;Hs=59.24475;sp=20;sf=12;rx_timestamp=33667168; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:05:20.545618;1181;H=93;T=20;Hs=58.95975;sp=2;sf=7;rx_timestamp=53928187; rssi=-60; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:05:43.559093;1182;H=93;T=20;Hs=58.95975;sp=2;sf=12;rx_timestamp=76972236; rssi=-61; snr=11.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:06:03.058621;1183;H=93;T=20;Hs=58.95975;sp=20;sf=7;rx_timestamp=96173312; rssi=-45; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:06:26.096545;1184;H=93;T=20;Hs=58.95975;sp=20;sf=12;rx_timestamp=119210361; rssi=-45; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:06:46.058736;1185;H=93;T=20;Hs=59.24475;sp=2;sf=7;rx_timestamp=139467373; rssi=-59; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:07:09.115631;1186;H=93;T=20;Hs=59.24475;sp=2;sf=12;rx_timestamp=162510390; rssi=-63; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:07:28.601017;1187;H=93;T=20;Hs=59.24475;sp=20;sf=7;rx_timestamp=181709451; rssi=-44; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:07:51.538201;1188;H=93;T=20;Hs=59.24475;sp=20;sf=12;rx_timestamp=204746481; rssi=-45; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:08:13.594094;1189;H=93;T=20;Hs=58.88849;sp=2;sf=7;rx_timestamp=227101470; rssi=-61; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:09:39.089098;1193;H=93;T=20;Hs=59.7435;sp=2;sf=7;rx_timestamp=312679489; rssi=-68; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:10:02.054622;1194;H=93;T=20;Hs=59.7435;sp=2;sf=12;rx_timestamp=335724499; rssi=-70; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:10:21.107805;1195;H=93;T=20;Hs=59.7435;sp=20;sf=7;rx_timestamp=354918556; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:10:44.549025;1196;H=93;T=20;Hs=59.7435;sp=20;sf=12;rx_timestamp=377960553; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:11:05.113510;1197;H=93;T=20;Hs=59.56537;sp=2;sf=7;rx_timestamp=398220570; rssi=-68; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:11:27.684497;1198;H=93;T=20;Hs=59.56537;sp=2;sf=12;rx_timestamp=421262573; rssi=-68; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:12:11.171183;1200;H=93;T=20;Hs=59.56537;sp=20;sf=12;rx_timestamp=463513621; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:12:30.558308;1201;H=93;T=20;Hs=59.63663;sp=2;sf=7;rx_timestamp=483772580; rssi=-68; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:12:53.103601;1202;H=93;T=20;Hs=59.63663;sp=2;sf=12;rx_timestamp=506814573; rssi=-68; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:13:12.102172;1203;H=93;T=20;Hs=59.63663;sp=20;sf=7;rx_timestamp=526014609; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:13:35.050200;1204;H=93;T=20;Hs=59.63663;sp=20;sf=12;rx_timestamp=549053624; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:13:55.607673;1205;H=93;T=20;Hs=59.63663;sp=2;sf=7;rx_timestamp=569312580; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:14:18.541857;1206;H=93;T=20;Hs=59.63663;sp=2;sf=12;rx_timestamp=592355578; rssi=-71; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:14:38.042893;1207;H=93;T=20;Hs=59.63663;sp=20;sf=7;rx_timestamp=611554608; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:15:01.087801;1208;H=93;T=20;Hs=59.63663;sp=20;sf=12;rx_timestamp=634593606; rssi=-54; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:15:21.045800;1209;H=93;T=20;Hs=59.4585;sp=2;sf=7;rx_timestamp=654852522; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:15:44.099476;1210;H=93;T=20;Hs=59.4585;sp=2;sf=12;rx_timestamp=677893513; rssi=-70; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:16:03.604878;1211;H=93;T=20;Hs=59.4585;sp=20;sf=7;rx_timestamp=697091551; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:16:26.528988;1212;H=93;T=20;Hs=59.4585;sp=20;sf=12;rx_timestamp=720133545; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:17:10.030765;1214;H=93;T=20;Hs=59.42287;sp=2;sf=12;rx_timestamp=763438524; rssi=-67; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:18:12.523292;1217;H=93;T=20;Hs=59.4585;sp=2;sf=7;rx_timestamp=825934469; rssi=-67; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:18:35.570457;1218;H=93;T=20;Hs=59.4585;sp=2;sf=12;rx_timestamp=848976443; rssi=-71; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:18:55.068398;1219;H=93;T=20;Hs=59.4585;sp=20;sf=7;rx_timestamp=868172493; rssi=-53; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:19:20.109424;1220;H=93;T=20;Hs=59.4585;sp=20;sf=12;rx_timestamp=891214469; rssi=-55; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:19:37.568342;1221;H=93;T=20;Hs=59.35162;sp=2;sf=7;rx_timestamp=911473473; rssi=-68; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:20:01.116191;1222;H=93;T=20;Hs=59.35162;sp=2;sf=12;rx_timestamp=934516460; rssi=-69; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:20:20.234092;1223;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=953717459; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:20:43.598900;1224;H=93;T=20;Hs=59.35162;sp=20;sf=12;rx_timestamp=976756462; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:21:05.618440;1225;H=93;T=20;Hs=59.35162;sp=2;sf=7;rx_timestamp=999104415; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:21:28.540230;1226;H=93;T=20;Hs=59.35162;sp=2;sf=12;rx_timestamp=1022147388; rssi=-68; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:21:47.544598;1227;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=1041348416; rssi=-50; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:22:11.079019;1228;H=93;T=20;Hs=59.35162;sp=20;sf=12;rx_timestamp=1064387407; rssi=-54; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:22:31.538267;1229;H=93;T=20;Hs=59.7435;sp=2;sf=7;rx_timestamp=1084644315; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:22:54.593769;1230;H=93;T=20;Hs=59.7435;sp=2;sf=12;rx_timestamp=1107687291; rssi=-69; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:23:13.583307;1231;H=93;T=20;Hs=59.7435;sp=20;sf=7;rx_timestamp=1126881334; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:23:36.643761;1232;H=93;T=20;Hs=59.7435;sp=20;sf=12;rx_timestamp=1149923314; rssi=-53; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:23:58.591632;1233;H=93;T=20;Hs=59.316;sp=2;sf=7;rx_timestamp=1172278225; rssi=-70; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:24:21.551273;1234;H=93;T=20;Hs=59.316;sp=2;sf=12;rx_timestamp=1195155559; rssi=-70; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:24:41.111565;1235;H=93;T=20;Hs=59.316;sp=20;sf=7;rx_timestamp=1214516236; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:25:04.068481;1236;H=93;T=20;Hs=59.316;sp=20;sf=12;rx_timestamp=1237560207; rssi=-53; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:25:24.109911;1237;H=93;T=20;Hs=59.42287;sp=2;sf=7;rx_timestamp=1257817246; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:25:47.556006;1238;H=93;T=20;Hs=59.42287;sp=2;sf=12;rx_timestamp=1280862211; rssi=-67; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:26:06.054169;1239;H=93;T=20;Hs=59.42287;sp=20;sf=7;rx_timestamp=1300061241; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:26:30.211932;1240;H=93;T=20;Hs=59.42287;sp=20;sf=12;rx_timestamp=1323098223; rssi=-53; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:26:52.046154;1241;H=93;T=20;Hs=59.42287;sp=2;sf=7;rx_timestamp=1345448176; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:27:14.668844;1242;H=93;T=20;Hs=59.42287;sp=2;sf=12;rx_timestamp=1368490142; rssi=-67; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:27:34.090765;1243;H=93;T=20;Hs=59.42287;sp=20;sf=7;rx_timestamp=1387691164; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:27:57.530381;1244;H=93;T=20;Hs=59.42287;sp=20;sf=12;rx_timestamp=1410730151; rssi=-52; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:28:17.086737;1245;H=93;T=20;Hs=59.49412;sp=2;sf=7;rx_timestamp=1430988107; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:28:40.580725;1246;H=93;T=20;Hs=59.49412;sp=2;sf=12;rx_timestamp=1454084075; rssi=-67; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:29:00.079172;1247;H=93;T=20;Hs=59.49412;sp=20;sf=7;rx_timestamp=1473283100; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-05 16:29:23.118711;1248;H=93;T=20;Hs=59.49412;sp=20;sf=12;rx_timestamp=1496322083; rssi=-52; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
