2024-07-05 13:26:23.664128;737;H=43;T=35;Hs=59.886;sp=2;sf=7;rx_timestamp=10586930; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:26:45.650755;738;H=43;T=35;Hs=59.886;sp=2;sf=12;rx_timestamp=33469255; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:27:05.714931;739;H=43;T=35;Hs=59.886;sp=20;sf=7;rx_timestamp=52827923; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:27:28.201924;740;H=43;T=35;Hs=59.886;sp=20;sf=12;rx_timestamp=75707241; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:27:48.721319;741;H=41;T=35;Hs=60.0285;sp=2;sf=7;rx_timestamp=96127855; rssi=-108; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:28:11.759294;742;H=41;T=35;Hs=60.0285;sp=2;sf=12;rx_timestamp=119007162; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:28:31.308714;743;H=41;T=35;Hs=60.0285;sp=20;sf=7;rx_timestamp=138365810; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:28:54.226928;744;H=41;T=35;Hs=60.0285;sp=20;sf=12;rx_timestamp=161406740; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:29:14.660168;745;H=41;T=35;Hs=59.85037;sp=2;sf=7;rx_timestamp=181665709; rssi=-109; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:29:37.212704;746;H=41;T=35;Hs=59.85037;sp=2;sf=12;rx_timestamp=204708636; rssi=-109; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:29:56.190707;747;H=41;T=35;Hs=59.85037;sp=20;sf=7;rx_timestamp=223902632; rssi=-94; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:30:19.132113;748;H=41;T=35;Hs=59.85037;sp=20;sf=12;rx_timestamp=246947557; rssi=-94; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:31:22.155829;751;H=45;T=37;Hs=59.70788;sp=20;sf=7;rx_timestamp=309441374; rssi=-95; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:31:45.168549;752;H=45;T=37;Hs=59.70788;sp=20;sf=12;rx_timestamp=332483283; rssi=-94; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:32:05.144184;753;H=41;T=37;Hs=59.81475;sp=2;sf=7;rx_timestamp=352740178; rssi=-111; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:32:28.680041;754;H=41;T=37;Hs=59.81475;sp=2;sf=12;rx_timestamp=375785086; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:32:47.166881;755;H=41;T=37;Hs=59.81475;sp=20;sf=7;rx_timestamp=394979067; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:33:10.724673;756;H=41;T=37;Hs=59.81475;sp=20;sf=12;rx_timestamp=418019973; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:33:31.170752;757;H=44;T=38;Hs=60.31351;sp=2;sf=7;rx_timestamp=438279870; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;758;H=44;T=38;Hs=60.31351;sp=2;sf=12;rx_timestamp=461320776; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:34:12.725911;759;H=44;T=38;Hs=60.31351;sp=20;sf=7;rx_timestamp=480529750; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:34:35.670787;760;H=44;T=38;Hs=60.31351;sp=20;sf=12;rx_timestamp=503574645; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:34:56.250110;761;H=36;T=39;Hs=59.99288;sp=2;sf=7;rx_timestamp=523830547; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:35:19.696664;762;H=36;T=39;Hs=59.99288;sp=2;sf=12;rx_timestamp=546886437; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:35:38.679116;763;H=36;T=39;Hs=59.99288;sp=20;sf=7;rx_timestamp=566081415; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:36:01.718150;764;H=36;T=39;Hs=59.99288;sp=20;sf=12;rx_timestamp=589123309; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:36:22.205792;765;H=37;T=39;Hs=59.92163;sp=2;sf=7;rx_timestamp=609383190; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:36:45.238136;766;H=37;T=39;Hs=59.92163;sp=2;sf=12;rx_timestamp=632426085; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:37:04.252793;767;H=37;T=39;Hs=59.92163;sp=20;sf=7;rx_timestamp=651620059; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:37:27.662653;768;H=37;T=39;Hs=59.92163;sp=20;sf=12;rx_timestamp=674664953; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:37:49.212583;769;H=39;T=38;Hs=59.92163;sp=2;sf=7;rx_timestamp=697016832; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:38:12.654146;770;H=39;T=38;Hs=59.92163;sp=2;sf=12;rx_timestamp=720057722; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:38:31.651396;771;H=39;T=38;Hs=59.92163;sp=20;sf=7;rx_timestamp=739254694; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:38:55.193251;772;H=39;T=38;Hs=59.92163;sp=20;sf=12;rx_timestamp=762296588; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:39:15.148874;773;H=36;T=38;Hs=59.92163;sp=2;sf=7;rx_timestamp=782553460; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:39:37.699179;774;H=36;T=38;Hs=59.92163;sp=2;sf=12;rx_timestamp=805596350; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:39:57.184591;775;H=36;T=38;Hs=59.92163;sp=20;sf=7;rx_timestamp=824790331; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:40:20.146067;776;H=36;T=38;Hs=59.92163;sp=20;sf=12;rx_timestamp=847833215; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:40:40.693281;777;H=40;T=39;Hs=59.85037;sp=2;sf=7;rx_timestamp=868092105; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:41:03.655524;778;H=40;T=39;Hs=59.85037;sp=2;sf=12;rx_timestamp=891134996; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:41:23.223085;779;H=40;T=39;Hs=59.85037;sp=20;sf=7;rx_timestamp=910330966; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:41:45.682288;780;H=40;T=39;Hs=59.85037;sp=20;sf=12;rx_timestamp=933373871; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:42:06.229292;781;H=45;T=38;Hs=60.13538;sp=2;sf=7;rx_timestamp=953629757; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:42:29.676989;782;H=45;T=38;Hs=60.13538;sp=2;sf=12;rx_timestamp=976672645; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:42:48.172136;783;H=45;T=38;Hs=60.13538;sp=20;sf=7;rx_timestamp=995869627; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:43:11.704881;784;H=45;T=38;Hs=60.13538;sp=20;sf=12;rx_timestamp=1018911522; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:43:32.168380;785;H=49;T=36;Hs=60.27788;sp=2;sf=7;rx_timestamp=1039170416; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:43:55.208413;786;H=49;T=36;Hs=60.27788;sp=2;sf=12;rx_timestamp=1062213303; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:44:14.205809;787;H=49;T=36;Hs=60.27788;sp=20;sf=7;rx_timestamp=1081407285; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:44:37.150036;788;H=49;T=36;Hs=60.27788;sp=20;sf=12;rx_timestamp=1104451174; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:44:59.699869;789;H=49;T=34;Hs=60.171;sp=2;sf=7;rx_timestamp=1126802985; rssi=-112; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:45:22.686059;790;H=49;T=34;Hs=60.171;sp=2;sf=12;rx_timestamp=1149687231; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:45:41.142279;791;H=49;T=34;Hs=60.171;sp=20;sf=7;rx_timestamp=1169044838; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:46:04.726254;792;H=49;T=34;Hs=60.171;sp=20;sf=12;rx_timestamp=1191924103; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
