2024-07-05 13:26:45.650755;738;H=43;T=35;Hs=59.886;sp=2;sf=12;rx_timestamp=33469255; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:28:11.759294;742;H=41;T=35;Hs=60.0285;sp=2;sf=12;rx_timestamp=119007162; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:29:37.212704;746;H=41;T=35;Hs=59.85037;sp=2;sf=12;rx_timestamp=204708636; rssi=-109; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:32:28.680041;754;H=41;T=37;Hs=59.81475;sp=2;sf=12;rx_timestamp=375785086; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;758;H=44;T=38;Hs=60.31351;sp=2;sf=12;rx_timestamp=461320776; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:35:19.696664;762;H=36;T=39;Hs=59.99288;sp=2;sf=12;rx_timestamp=546886437; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:36:45.238136;766;H=37;T=39;Hs=59.92163;sp=2;sf=12;rx_timestamp=632426085; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:38:12.654146;770;H=39;T=38;Hs=59.92163;sp=2;sf=12;rx_timestamp=720057722; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:39:37.699179;774;H=36;T=38;Hs=59.92163;sp=2;sf=12;rx_timestamp=805596350; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:41:03.655524;778;H=40;T=39;Hs=59.85037;sp=2;sf=12;rx_timestamp=891134996; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:42:29.676989;782;H=45;T=38;Hs=60.13538;sp=2;sf=12;rx_timestamp=976672645; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:43:55.208413;786;H=49;T=36;Hs=60.27788;sp=2;sf=12;rx_timestamp=1062213303; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:45:22.686059;790;H=49;T=34;Hs=60.171;sp=2;sf=12;rx_timestamp=1149687231; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:46:48.199035;794;H=46;T=34;Hs=59.92163;sp=2;sf=12;rx_timestamp=1235387602; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:48:13.729392;798;H=53;T=33;Hs=59.85037;sp=2;sf=12;rx_timestamp=1320929267; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:51:04.656535;806;H=54;T=31;Hs=59.85037;sp=2;sf=12;rx_timestamp=1492046648; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:52:30.232321;810;H=54;T=32;Hs=59.886;sp=2;sf=12;rx_timestamp=1577423632; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:53:55.672109;814;H=51;T=32;Hs=60.456;sp=2;sf=12;rx_timestamp=1662959334; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:55:21.675799;818;H=54;T=31;Hs=60.13538;sp=2;sf=12;rx_timestamp=1748663761; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:56:49.219363;822;H=55;T=30;Hs=59.85037;sp=2;sf=12;rx_timestamp=1836302479; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:58:14.208516;826;H=55;T=30;Hs=59.99288;sp=2;sf=12;rx_timestamp=1921879210; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:59:41.663102;830;H=58;T=29;Hs=60.171;sp=2;sf=12;rx_timestamp=2009353232; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:01:07.664158;834;H=58;T=29;Hs=60.20662;sp=2;sf=12;rx_timestamp=2095053688; rssi=-109; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:02:33.212743;838;H=60;T=29;Hs=59.85037;sp=2;sf=12;rx_timestamp=2180592445; rssi=-110; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:03:58.648870;842;H=57;T=30;Hs=59.70788;sp=2;sf=12;rx_timestamp=2266133196; rssi=-110; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:05:24.710439;846;H=55;T=32;Hs=59.70788;sp=2;sf=12;rx_timestamp=2351673961; rssi=-110; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:06:49.741670;850;H=55;T=32;Hs=59.70788;sp=2;sf=12;rx_timestamp=2437222706; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:08:15.194355;854;H=54;T=32;Hs=59.95725;sp=2;sf=12;rx_timestamp=2522765449; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:09:40.663912;858;H=51;T=34;Hs=59.886;sp=2;sf=12;rx_timestamp=2608138456; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:11:08.750218;862;H=55;T=33;Hs=59.67225;sp=2;sf=12;rx_timestamp=2695931897; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:12:34.209285;866;H=54;T=33;Hs=59.56537;sp=2;sf=12;rx_timestamp=2781471605; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:13:59.729959;870;H=50;T=33;Hs=59.77912;sp=2;sf=12;rx_timestamp=2867005315; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
