0000;494;H=35;T=41;Hs=60.84788;sp=2;sf=12;rx_timestamp=76455316; rssi=-109; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;498;H=35;T=42;Hs=60.91913;sp=2;sf=12;rx_timestamp=161982456; rssi=-116; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:02:20.758554;502;H=36;T=43;Hs=60.84788;sp=2;sf=12;rx_timestamp=247516517; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;506;H=36;T=41;Hs=60.38476;sp=2;sf=12;rx_timestamp=333043538; rssi=-115; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:05:11.264160;510;H=42;T=39;Hs=60.456;sp=2;sf=12;rx_timestamp=418420786; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:06:37.260559;514;H=48;T=37;Hs=60.77663;sp=2;sf=12;rx_timestamp=504113467; rssi=-117; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:08:02.716678;518;H=50;T=36;Hs=60.5985;sp=2;sf=12;rx_timestamp=589475708; rssi=-116; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:09:28.707503;522;H=49;T=36;Hs=60.77663;sp=2;sf=12;rx_timestamp=675166288; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:10:53.739199;526;H=42;T=38;Hs=60.84788;sp=2;sf=12;rx_timestamp=760696165; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:12:19.828475;530;H=40;T=40;Hs=60.91913;sp=2;sf=12;rx_timestamp=846224035; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:13:45.663086;534;H=36;T=41;Hs=60.95476;sp=2;sf=12;rx_timestamp=931752887; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:15:12.720164;538;H=38;T=41;Hs=60.70538;sp=2;sf=12;rx_timestamp=1019374725; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:16:38.257122;542;H=36;T=41;Hs=60.77663;sp=2;sf=12;rx_timestamp=1104903555; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:18:03.682935;546;H=39;T=39;Hs=60.70538;sp=2;sf=12;rx_timestamp=1190431396; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:19:29.244530;550;H=42;T=37;Hs=60.95476;sp=2;sf=12;rx_timestamp=1275999213; rssi=-117; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:20:54.779119;554;H=48;T=34;Hs=60.91913;sp=2;sf=12;rx_timestamp=1361524035; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:22:20.669727;558;H=52;T=33;Hs=60.741;sp=2;sf=12;rx_timestamp=1446890128; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:23:45.734424;562;H=55;T=33;Hs=60.56288;sp=2;sf=12;rx_timestamp=1532581652; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;566;H=54;T=32;Hs=60.95476;sp=2;sf=12;rx_timestamp=1618143471; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:26:36.753049;570;H=52;T=32;Hs=60.31351;sp=2;sf=12;rx_timestamp=1703673286; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:28:02.255830;574;H=55;T=33;Hs=60.95476;sp=2;sf=12;rx_timestamp=1789199090; rssi=-117; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:29:27.216009;578;H=52;T=33;Hs=60.5985;sp=2;sf=12;rx_timestamp=1874562211; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:30:54.746286;582;H=56;T=33;Hs=60.56288;sp=2;sf=12;rx_timestamp=1960254713; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:32:19.246778;586;H=53;T=33;Hs=60.56288;sp=2;sf=12;rx_timestamp=2045783513; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:33:46.287768;590;H=43;T=39;Hs=60.63413;sp=2;sf=12;rx_timestamp=2133424304; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;594;H=40;T=39;Hs=60.38476;sp=2;sf=12;rx_timestamp=2218959095; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:36:37.695805;598;H=39;T=40;Hs=60.5985;sp=2;sf=12;rx_timestamp=2304330211; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:38:02.797402;602;H=42;T=39;Hs=60.56288;sp=2;sf=12;rx_timestamp=2390029687; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:39:28.738668;606;H=40;T=37;Hs=60.49163;sp=2;sf=12;rx_timestamp=2475566463; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:40:57.763959;610;H=46;T=34;Hs=60.27788;sp=2;sf=12;rx_timestamp=2563193241; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:42:21.793530;614;H=44;T=34;Hs=60.42038;sp=2;sf=12;rx_timestamp=2648728033; rssi=-116; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;618;H=49;T=33;Hs=60.171;sp=2;sf=12;rx_timestamp=2734101101; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:46:38.238864;626;H=45;T=37;Hs=60.171;sp=2;sf=12;rx_timestamp=2905169655; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:48:06.272835;630;H=40;T=38;Hs=60.171;sp=2;sf=12;rx_timestamp=2992797422; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;634;H=37;T=38;Hs=60.34913;sp=2;sf=12;rx_timestamp=3078532909; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;638;H=41;T=38;Hs=60.456;sp=2;sf=12;rx_timestamp=3163918957; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;642;H=41;T=38;Hs=59.99288;sp=2;sf=12;rx_timestamp=3249618444; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:53:48.230325;646;H=41;T=39;Hs=60.42038;sp=2;sf=12;rx_timestamp=3335153194; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:55:16.275009;650;H=40;T=39;Hs=60.42038;sp=2;sf=12;rx_timestamp=3422785950; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:56:41.732941;654;H=38;T=39;Hs=60.0285;sp=2;sf=12;rx_timestamp=3508158031; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:58:07.705750;658;H=40;T=38;Hs=60.34913;sp=2;sf=12;rx_timestamp=3593855477; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 12:59:32.777149;662;H=41;T=39;Hs=60.13538;sp=2;sf=12;rx_timestamp=3679393223; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:00:58.310106;666;H=42;T=39;Hs=60.24225;sp=2;sf=12;rx_timestamp=3764926982; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:02:25.791629;670;H=41;T=40;Hs=59.886;sp=2;sf=12;rx_timestamp=3852406003; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:03:53.790295;674;H=39;T=41;Hs=60.20662;sp=2;sf=12;rx_timestamp=3940204479; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:05:18.727543;678;H=37;T=41;Hs=59.92163;sp=2;sf=12;rx_timestamp=4025740244; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:06:45.402848;682;H=38;T=39;Hs=59.99288;sp=2;sf=12;rx_timestamp=4111274996; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:08:10.299447;686;H=42;T=37;Hs=60.34913;sp=2;sf=12;rx_timestamp=4196811759; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:09:35.732662;690;H=41;T=36;Hs=59.99288;sp=2;sf=12;rx_timestamp=4282346515; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:11:01.272716;694;H=42;T=37;Hs=60.20662;sp=2;sf=12;rx_timestamp=72913981; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 13:12:29.848539;698;H=42;T=38;Hs=60.31351;sp=2;sf=12;rx_timestamp=158451735; rssi=-112; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
