2024-07-05 09:18:14.618017;43;H=57;T=35;Hs=66.51229;sp=20;sf=7;rx_timestamp=14560754; rssi=-104; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:18:37.514789;44;H=57;T=35;Hs=66.51229;sp=20;sf=12;rx_timestamp=37600825; rssi=-104; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:19:39.086204;47;H=54;T=36;Hs=66.19167;sp=20;sf=7;rx_timestamp=100086956; rssi=-106; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:20:02.119828;48;H=54;T=36;Hs=66.19167;sp=20;sf=12;rx_timestamp=123128960; rssi=-105; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:21:04.611422;51;H=53;T=36;Hs=65.58603;sp=20;sf=7;rx_timestamp=185613989; rssi=-108; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:21:28.054984;52;H=53;T=36;Hs=65.58603;sp=20;sf=12;rx_timestamp=208653967; rssi=-104; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:22:31.064744;55;H=49;T=38;Hs=65.94229;sp=20;sf=7;rx_timestamp=271138930; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:22:53.571862;56;H=49;T=38;Hs=65.94229;sp=20;sf=12;rx_timestamp=294178897; rssi=-108; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:24:26.520056;59;H=46;T=39;Hs=65.47916;sp=20;sf=7;rx_timestamp=379705761; rssi=-106; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:24:29.036542;60;H=46;T=39;Hs=65.47916;sp=20;sf=12;rx_timestamp=379705761; rssi=-106; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:25:23.582716;63;H=48;T=38;Hs=65.51479;sp=20;sf=7;rx_timestamp=444284647; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:25:46.623738;64;H=48;T=38;Hs=65.51479;sp=20;sf=12;rx_timestamp=467325596; rssi=-105; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:26:49.115699;67;H=45;T=38;Hs=65.08728;sp=20;sf=7;rx_timestamp=529810458; rssi=-103; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:27:12.059688;68;H=45;T=38;Hs=65.08728;sp=20;sf=12;rx_timestamp=552862386; rssi=-105; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:28:14.376813;71;H=44;T=39;Hs=65.12291;sp=20;sf=7;rx_timestamp=615351235; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:28:39.589551;72;H=44;T=39;Hs=65.12291;sp=20;sf=12;rx_timestamp=638391161; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:29:39.575283;75;H=45;T=39;Hs=64.62415;sp=20;sf=7;rx_timestamp=700877993; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:30:03.205566;76;H=45;T=39;Hs=64.62415;sp=20;sf=12;rx_timestamp=723917913; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
