4;H=73;T=32;Hs=0.0;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1647; tx_counter=4; tx_frequency=868000000
8;H=75;T=31;Hs=0.0;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1647; tx_counter=8; tx_frequency=868000000
12;H=77;T=32;Hs=0.0;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1811; tx_counter=12; tx_frequency=868000000
16;H=85;T=33;Hs=0.0;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1811; tx_counter=16; tx_frequency=868000000
20;H=78;T=34;Hs=67.58105;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=20; tx_frequency=868000000
24;H=62;T=34;Hs=67.43855;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=24; tx_frequency=868000000
28;H=56;T=36;Hs=67.61667;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=28; tx_frequency=868000000
32;H=53;T=36;Hs=67.11792;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=32; tx_frequency=868000000
36;H=57;T=35;Hs=66.97542;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=36; tx_frequency=868000000
40;H=55;T=34;Hs=66.65479;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=40; tx_frequency=868000000
44;H=57;T=35;Hs=66.51229;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=44; tx_frequency=868000000
48;H=54;T=36;Hs=66.19167;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=48; tx_frequency=868000000
52;H=53;T=36;Hs=65.58603;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=52; tx_frequency=868000000
56;H=49;T=38;Hs=65.94229;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=56; tx_frequency=868000000
60;H=46;T=39;Hs=65.47916;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=60; tx_frequency=868000000
64;H=48;T=38;Hs=65.51479;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=64; tx_frequency=868000000
68;H=45;T=38;Hs=65.08728;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=68; tx_frequency=868000000
72;H=44;T=39;Hs=65.12291;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=72; tx_frequency=868000000
76;H=45;T=39;Hs=64.62415;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=76; tx_frequency=868000000
80;H=45;T=39;Hs=64.58853;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=80; tx_frequency=868000000
84;H=46;T=39;Hs=64.69541;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=84; tx_frequency=868000000
88;H=46;T=37;Hs=64.2679;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1811; tx_counter=88; tx_frequency=868000000
92;H=53;T=36;Hs=64.37478;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=92; tx_frequency=868000000
96;H=53;T=34;Hs=64.1254;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1811; tx_counter=96; tx_frequency=868000000
100;H=51;T=36;Hs=63.91165;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=100; tx_frequency=868000000
104;H=49;T=38;Hs=63.80477;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=104; tx_frequency=868000000
108;H=50;T=38;Hs=63.9829;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=108; tx_frequency=868000000
112;H=47;T=39;Hs=63.80477;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=112; tx_frequency=868000000
116;H=48;T=37;Hs=63.62665;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=116; tx_frequency=868000000
120;H=51;T=35;Hs=63.4129;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=120; tx_frequency=868000000
124;H=54;T=35;Hs=63.30602;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=124; tx_frequency=868000000
128;H=52;T=35;Hs=63.59102;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=128; tx_frequency=868000000
132;H=57;T=33;Hs=63.2704;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=132; tx_frequency=868000000
136;H=59;T=33;Hs=63.19915;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=136; tx_frequency=868000000
140;H=52;T=35;Hs=62.73602;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=140; tx_frequency=868000000
144;H=47;T=38;Hs=63.05665;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=144; tx_frequency=868000000
148;H=45;T=39;Hs=62.91414;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=148; tx_frequency=868000000
152;H=42;T=39;Hs=63.19915;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=152; tx_frequency=868000000
156;H=50;T=37;Hs=62.94977;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=156; tx_frequency=868000000
160;H=48;T=37;Hs=62.59352;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=160; tx_frequency=868000000
164;H=45;T=38;Hs=62.73602;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=164; tx_frequency=868000000
168;H=43;T=38;Hs=62.41539;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=168; tx_frequency=868000000
172;H=45;T=39;Hs=62.41539;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=172; tx_frequency=868000000
176;H=45;T=39;Hs=62.41539;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=176; tx_frequency=868000000
180;H=42;T=40;Hs=62.13039;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=180; tx_frequency=868000000
184;H=42;T=38;Hs=62.09476;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=184; tx_frequency=868000000
188;H=40;T=38;Hs=62.09476;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=188; tx_frequency=868000000
192;H=46;T=38;Hs=62.13039;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=192; tx_frequency=868000000
196;H=50;T=37;Hs=62.13039;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=196; tx_frequency=868000000
200;H=53;T=35;Hs=62.05914;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=200; tx_frequency=868000000
204;H=59;T=33;Hs=61.98789;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=204; tx_frequency=868000000
208;H=56;T=33;Hs=62.13039;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=208; tx_frequency=868000000
212;H=62;T=32;Hs=62.09476;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=212; tx_frequency=868000000
216;H=52;T=35;Hs=61.63164;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=216; tx_frequency=868000000
220;H=48;T=38;Hs=61.98789;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=220; tx_frequency=868000000
224;H=44;T=39;Hs=61.66726;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=224; tx_frequency=868000000
228;H=42;T=39;Hs=61.91664;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=228; tx_frequency=868000000
232;H=45;T=38;Hs=61.56038;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=232; tx_frequency=868000000
236;H=46;T=37;Hs=61.56038;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=236; tx_frequency=868000000
240;H=42;T=38;Hs=61.80976;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=240; tx_frequency=868000000
244;H=48;T=38;Hs=61.56038;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=244; tx_frequency=868000000
248;H=46;T=38;Hs=61.63164;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=248; tx_frequency=868000000
252;H=44;T=39;Hs=61.27538;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=252; tx_frequency=868000000
256;H=41;T=40;Hs=61.13288;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=256; tx_frequency=868000000
260;H=46;T=40;Hs=61.48914;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=260; tx_frequency=868000000
264;H=39;T=40;Hs=61.09726;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=264; tx_frequency=868000000
268;H=37;T=40;Hs=61.52476;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=268; tx_frequency=868000000
272;H=40;T=40;Hs=61.34664;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=272; tx_frequency=868000000
276;H=39;T=40;Hs=61.20413;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=276; tx_frequency=868000000
280;H=38;T=41;Hs=61.34664;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=280; tx_frequency=868000000
284;H=38;T=40;Hs=61.48914;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=284; tx_frequency=868000000
288;H=38;T=40;Hs=61.27538;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=288; tx_frequency=868000000
292;H=38;T=40;Hs=61.27538;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=292; tx_frequency=868000000
296;H=48;T=35;Hs=61.20413;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=296; tx_frequency=868000000
300;H=45;T=35;Hs=61.16851;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=300; tx_frequency=868000000
304;H=50;T=34;Hs=60.84788;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=304; tx_frequency=868000000
308;H=55;T=34;Hs=61.16851;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=308; tx_frequency=868000000
312;H=58;T=33;Hs=61.20413;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=312; tx_frequency=868000000
316;H=56;T=33;Hs=60.95476;sp=20;sf=12;rx_timestamp=56973684; rssi=-128; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=1975; tx_counter=316; tx_frequency=868000000
