33;H=95;T=26;Hs=1.211258;sp=2;sf=7;send_time=1724684118;rx_timestamp=97359371; rssi=-70; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
37;H=95;T=26;Hs=0.0;sp=2;sf=7;send_time=1724684240;rx_timestamp=218911726; rssi=-112; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
41;H=95;T=27;Hs=9.084435;sp=2;sf=7;send_time=1724684361;rx_timestamp=340477158; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
45;H=95;T=27;Hs=9.654434;sp=2;sf=7;send_time=1724684483;rx_timestamp=462123944; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
49;H=95;T=27;Hs=9.725685;sp=2;sf=7;send_time=1724684604;rx_timestamp=583683386; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
53;H=95;T=26;Hs=9.013184;sp=2;sf=7;send_time=1724684726;rx_timestamp=705249500; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
57;H=95;T=26;Hs=9.725685;sp=2;sf=7;send_time=1724684848;rx_timestamp=826812392; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
61;H=95;T=26;Hs=9.654434;sp=2;sf=7;send_time=1724684969;rx_timestamp=948371636; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
65;H=95;T=25;Hs=9.654434;sp=2;sf=7;send_time=1724685091;rx_timestamp=1069939596; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
69;H=95;T=26;Hs=9.903809;sp=2;sf=7;send_time=1724685212;rx_timestamp=1191498724; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
73;H=95;T=26;Hs=9.761307;sp=2;sf=7;send_time=1724685334;rx_timestamp=1313064682; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
77;H=95;T=26;Hs=10.75882;sp=2;sf=7;send_time=1724685456;rx_timestamp=1434970808; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
81;H=95;T=26;Hs=9.796936;sp=2;sf=7;send_time=1724685577;rx_timestamp=1556530762; rssi=-118; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
85;H=95;T=26;Hs=9.868187;sp=2;sf=7;send_time=1724685699;rx_timestamp=1678099746; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
89;H=95;T=25;Hs=10.40257;sp=2;sf=7;send_time=1724685820;rx_timestamp=1799659844; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
93;H=95;T=25;Hs=10.01069;sp=2;sf=7;send_time=1724685942;rx_timestamp=1921224644; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
97;H=95;T=25;Hs=10.18881;sp=2;sf=7;send_time=1724686064;rx_timestamp=2042787876; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
101;H=95;T=25;Hs=9.761307;sp=2;sf=7;send_time=1724686185;rx_timestamp=2164351097; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
105;H=95;T=25;Hs=1.852509;sp=2;sf=7;send_time=1724686307;rx_timestamp=2285926834; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
109;H=95;T=25;Hs=10.43819;sp=2;sf=7;send_time=1724686428;rx_timestamp=2407490101; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
113;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724686550;rx_timestamp=2529054942; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
117;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724686671;rx_timestamp=2650620417; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
121;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724686793;rx_timestamp=2772183080; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
125;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724686915;rx_timestamp=2893829394; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
129;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724687036;rx_timestamp=3015392170; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
133;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724687158;rx_timestamp=3136958368; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
137;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724687279;rx_timestamp=3258525116; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
141;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687401;rx_timestamp=3380099515; rssi=-120; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
145;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687522;rx_timestamp=3501666158; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
149;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687644;rx_timestamp=3623230687; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
153;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687766;rx_timestamp=3744792213; rssi=-119; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
157;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687887;rx_timestamp=3866374817; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
161;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688011;rx_timestamp=3990028692; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
165;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688134;rx_timestamp=4113704062; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
169;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688256;rx_timestamp=4235273233; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
173;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688378;rx_timestamp=61870489; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
177;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688499;rx_timestamp=183437917; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
181;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688621;rx_timestamp=305002499; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
185;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688742;rx_timestamp=426567527; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
189;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688868;rx_timestamp=552324518; rssi=-117; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
